"date","close","volume","open","high","low"
"2016/01/28","748.3000","3099545.0000","738.1900","751.1600","730.6000"
"2016/01/27","717.5800","2105853.0000","735.8900","735.8900","713.4500"
"2016/01/26","733.7900","1545696.0000","735.2100","739.4600","726.9700"
"2016/01/25","733.6200","2264914.0000","743.8400","752.4600","732.5010"
"2016/01/22","745.4600","2357079.0000","742.0000","748.5600","740.5000"
"2016/01/21","726.6700","2595123.0000","720.1700","737.6700","711.1100"
"2016/01/20","718.5600","4118503.0000","705.9000","726.9500","687.7800"
"2016/01/19","719.0800","2434005.0000","720.1500","725.3500","709.8500"
"2016/01/15","710.4900","3789249.0000","709.9900","724.1580","701.5100"
"2016/01/14","731.3900","2768633.0000","724.4400","739.8900","705.0000"
"2016/01/13","719.5700","2578588.0000","749.3400","753.0000","716.7800"
"2016/01/12","745.3400","2337503.0000","740.7500","748.3400","736.4300"
"2016/01/11","733.0700","2537985.0000","731.9500","735.0800","719.5600"
"2016/01/08","730.9100","2374762.0000","747.8000","750.1200","728.9201"
"2016/01/07","741.0000","3152358.0000","746.4900","755.3100","735.2800"
"2016/01/06","759.3300","2408797.0000","750.3700","765.7300","748.0000"
"2016/01/05","761.5300","2257466.0000","764.1000","769.2000","755.6500"
"2016/01/04","759.4400","3363528.0000","762.2000","762.2000","747.5400"
"2015/12/31","778.0100","1637241.0000","787.8200","788.3300","777.3200"
"2015/12/30","790.3000","1427271.0000","793.9600","796.4550","787.2000"
"2015/12/29","793.9600","1919541.0000","786.9900","798.6900","786.2020"
"2015/12/28","782.2400","1555564.0000","770.0000","782.8150","767.7300"
"2015/12/24","765.8400","521141.0000","768.5200","769.2000","764.3900"
"2015/12/23","768.5100","1529510.0000","770.6900","771.9000","757.6500"
"2015/12/22","767.1300","1814253.0000","764.2700","770.3400","761.2000"
"2015/12/21","760.8000","1737946.0000","763.0500","766.3500","754.1500"
"2015/12/18","756.8500","3374853.0000","767.2300","774.1400","756.5900"
"2015/12/17","769.8300","1823211.0000","781.1600","781.5900","769.3000"
"2015/12/16","776.5900","2651259.0000","766.5700","781.5000","757.0450"
"2015/12/15","760.0900","2461633.0000","767.7900","774.7500","758.0000"
"2015/12/14","762.5400","2698393.0000","751.2600","764.1500","736.2600"
"2015/12/11","750.4200","2156617.0000","749.0000","757.4400","748.6500"
"2015/12/10","760.0400","1620898.0000","763.5900","766.0655","755.0000"
"2015/12/09","762.5500","2311713.0000","771.1000","776.0926","752.0066"
"2015/12/08","775.1400","1553155.0000","764.5000","778.6500","762.5200"
"2015/12/07","772.9900","1825712.0000","780.0600","781.0000","766.7200"
"2015/12/04","779.2100","2489157.0000","769.7100","782.4200","765.5100"
"2015/12/03","768.2000","2094623.0000","780.5600","784.4800","762.4500"
"2015/12/02","777.8500","2335118.0000","785.2500","793.0475","776.4300"
"2015/12/01","783.7900","2016443.0000","766.9400","785.0000","765.9500"
"2015/11/30","762.8500","1611922.0000","771.8700","775.0300","761.1200"
"2015/11/27","771.9700","722320.0000","769.1600","774.0000","767.0001"
"2015/11/25","769.2600","1180083.0000","771.6900","773.0000","766.5300"
"2015/11/24","769.6300","2391171.0000","772.9600","775.9900","758.1100"
"2015/11/23","776.7000","1732340.0000","777.4700","782.9000","773.5100"
"2015/11/20","777.0000","2772642.0000","769.3000","779.3180","764.1000"
"2015/11/19","759.9400","1403664.0000","759.7800","763.2300","757.2300"
"2015/11/18","760.0100","1809897.0000","749.5700","761.1000","747.3900"
"2015/11/17","745.9800","1941187.0000","752.4700","754.9500","744.0500"
"2015/11/16","750.4200","2531896.0000","740.2100","751.7100","734.3300"
"2015/11/13","740.0700","2406131.0000","754.0400","755.3300","739.4700"
"2015/11/12","756.5300","1768372.0000","760.1800","765.7990","755.8600"
"2015/11/11","765.2500","2093422.0000","762.3800","769.0800","759.7500"
"2015/11/10","758.2600","1489851.0000","753.4800","760.6000","748.4100"
"2015/11/09","754.7700","1776667.0000","758.5200","763.3000","749.1100"
"2015/11/06","761.6000","1675784.0000","759.3900","763.0220","755.0300"
"2015/11/05","760.6700","2272684.0000","758.8100","766.3500","757.4700"
"2015/11/04","755.3100","2087911.0000","749.9000","759.9000","749.2000"
"2015/11/03","748.8200","1814805.0000","745.4300","751.6980","741.1600"
"2015/11/02","747.7400","1994264.0000","737.8800","748.1800","731.4500"
"2015/10/30","737.3900","1997533.0000","745.5600","746.3100","736.5300"
"2015/10/29","744.8500","1824574.0000","736.6300","746.7900","735.1600"
"2015/10/28","736.9200","1967439.0000","733.0000","737.3700","727.2700"
"2015/10/27","732.8200","1936404.0000","726.5700","735.9642","724.1350"
"2015/10/26","731.1200","2411726.0000","720.0200","734.9500","720.0200"
"2015/10/23","719.3300","6330015.0000","750.0600","752.5000","717.9400"
"2015/10/22","681.1400","4360204.0000","675.4400","688.0499","671.7000"
"2015/10/21","671.8000","1604735.0000","683.2100","684.9000","670.7000"
"2015/10/20","680.0000","2619471.0000","697.8900","698.0000","673.6800"
"2015/10/19","699.9500","1502651.0000","694.0000","700.2397","692.2100"
"2015/10/16","695.3200","1815517.0000","695.4000","696.2200","689.1000"
"2015/10/15","693.0200","2355459.0000","685.2500","694.1600","684.3900"
"2015/10/14","680.4100","1563983.0000","683.7300","690.0400","678.9000"
"2015/10/13","683.1700","2115479.0000","674.2600","688.4600","673.1080"
"2015/10/12","676.4300","1331892.0000","669.1900","677.9800","667.2400"
"2015/10/09","671.2400","1604461.0000","667.4900","674.0850","662.3600"
"2015/10/08","667.0000","1963318.0000","669.4500","671.8900","654.4900"
"2015/10/07","670.0000","2188886.0000","677.4000","678.7400","658.1100"
